PMID entry MLO
27918561 A0A0U1RRE5 P-body
17267406 A1L020 P-body
27715441,19158395 A1Z7A8 Cajal-body
26134560 A2A288 P-body
17054726 A4D1E9 Nucleolus
21976065 A5YKK6 P-body
17900573 A8CG34 Nuclear-pore-complex
26184334 C9JLW8 Stress-granule
28381521 H2L067 Germ-plasm
22094112 I0J062 Nucleolus
23164465 O00165 P-body
19266028 O00257 Nuclear-speckle
20966198 O00422 Nuclear-speckle
12777385 O00567 Nucleolus
27474797 O13310 P-body
22226966 O14746 Nucleolus
17355966 O15047 Nuclear-speckle
24202686 O15055 Nucleolus
12515382 O15116 P-body
23848194 O15213 Nucleolus
18804466 O15213 Nucleolus
16170325 O15234 Nuclear-speckle
17652158 O15234 Stress-granule
22226966 O15381 Nucleolus
9426281 O15446 Nucleolus
17148573 O15527 Nuclear-speckle
30017905 O15550 Nucleolus
22960638 O43390 Paraspeckle
33709256,22960638 O43390 Paraspeckle
9570313 O43447 Nuclear-speckle
11544257 O43660 Nuclear-speckle
29973724 O43781 Nuclear-speckle
22960638 O43809 Paraspeckle
33709256,22960638 O43809 Paraspeckle
26683827 O43823 Nucleolus
22307388 O60318 Nuclear-pore-complex
22960638 O60479 Paraspeckle
33709256,22960638 O60479 Paraspeckle
21933836 O60828 Stress-granule
12429849 O60832 Nucleolus
30017905 O60832 Cajal-body,Nucleolus
12470659 O60934 PML-nuclear-body
10196175 O60936 Nucleolus
27474797 O74454 P-body
20129925 O75151 Nucleolus
22960638 O75177 Paraspeckle
33709256,22960638 O75177 Paraspeckle
9685386 O75319 Nuclear-speckle
33549703,30979586 O75385 Stress-granule
26876937 O75494 Nuclear-speckle
22960638 O75494 Paraspeckle
33709256,22960638 O75494 Paraspeckle
19592703 O75554 Nuclear-speckle
22406621 O75925 PML-nuclear-body
30017905 O75925 Nuclear-speckle
22406621 O75928 PML-nuclear-body
22419112 O76021 Nucleolus
32353257 O88508 PML-nuclear-body
9813152 O94818 Nucleolus
21549338 O94906 Cajal-body
12565863 O95232 Nuclear-speckle
22442037 O95453 Nucleolus
30017905 O95453 Cajal-body,Nucleolus
10352175 O95707 Nucleolus
28377462 P00441 Stress-granule
25775507 P01106 Nucleolus
16061563 P02545 Nuclear-speckle
27323408 P04637 PML-nuclear-body
30017905 P04637 PML-nuclear-body,Nucleolus
32553117 P06100 P-body
20616046 P06730 P-body
19208757 P06748 Nucleolus
17656373 P08621 Nuclear-speckle
15280213 P09052 Germ-plasm
26970648 P09052 Germ-plasm
22960638 P09651 Paraspeckle
33709256,22960638 P09651 Paraspeckle
21586586 P0DI83 Nucleolus
28377462 P0DMV8 Stress-granule
27220849,29424691 P10071 Paraspeckle
32553117 P10080 P-body
12149243 P11387 Nucleolus
30017905 P11387 Nucleolus
30017905 P11388 Nucleolus
28457979 P11940 Stress-granule
7798308 P12270 Nuclear-pore-complex
32553117 P12385 P-body
30017905 P13056 PML-nuclear-body
12814551 P15927 PML-nuclear-body
24304693 P16383 Nucleolus
24449107 P17480 Nucleolus
30017905 P17480 Nucleolus
8702533 P17480 Nucleolus
28279363,26538647 P17600 Postsynaptic-density
30017905 P17676 Nuclear-speckle
10837141 P17844 Nucleolus
1424986 P18583 Nuclear-speckle
30017905 P18583 Nuclear-speckle
33095160 P18583 Nuclear-speckle
33848474 P18583 Nuclear-speckle
18361920 P19474 P-body
15520190 P19544 Nuclear-speckle
32553117 P20433 P-body
15184662 P20592 Nuclear-pore-complex
14988005 P21359 Nucleolus
24352239 P22087 Nucleolus
30017905 P22087 Cajal-body,Nucleolus
32553117 P22147 P-body
11546740 P23128 P-body
25765647 P23246 Paraspeckle
20573717 P23246 Paraspeckle
22960638 P23246 Paraspeckle
30017905 P23246 Paraspeckle
33848474 P23246 Nuclear-speckle
16314389 P23396 Nucleolus
19460357 P23396 Nucleolus
27211601 P23497 PML-nuclear-body
30017905 P23497 PML-nuclear-body
32553117 P24276 P-body
26970648 P25158 Germ-plasm
28680096 P25223 Negri-body
30017905 P25490 Nuclear-speckle
29915153 P25644 P-body
32553117 P25644 P-body
1586970 P25685 Nucleolus
26184334 P26196 P-body
15731006 P26196 Stress-granule
17369404 P26651 P-body
17959650 P27694 PML-nuclear-body
32553117 P29056 P-body
29915153 P29295 P-body
15949438 P29375 Nucleolus
20501696 P29590 PML-nuclear-body
27211601 P29590 PML-nuclear-body
28577509,24637324 P29590 PML-nuclear-body
32553117 P30771 P-body
33277379 P31209 Stress-granule
32553117 P31384 P-body
15371533 P31483 Stress-granule
12440955,10613902 P31483 Stress-granule
22960638 P31942 Paraspeckle
33709256,22960638 P31942 Paraspeckle
33709256,22960638 P31943 Paraspeckle
32553117 P32909 P-body
