DrLLPSID UniProtID Genename EnsemblGeneID Species Condensate LLPSType References 
LLPS-Hos-1390 P35637 FUS ENSG00000089280.18 Homo_sapiens Droplet,DNAdamagefoci,GeminiofCajal-body,Nuclear-speckle,Nucleolus,Paraspeckle,P-body,Stress-granule,Others Scaffold 2.86577192426789E+87 
LLPS-Hos-0100 O43670 ZNF207 ENSG00000010244.18 Homo_sapiens Droplet,Nucleolus,Spindleapparatus,Others Scaffold 2.9751016290747E+31 
LLPS-Hos-2438 P09651 HNRNPA1 ENSG00000135486.17 Homo_sapiens Droplet,Nuclear-speckle,Nucleolus,Paraspeckle,Sam68-nuclear-body,Stress-granule,Postsynapticdensity,Others Scaffold 2.6412307283065E+31 
LLPS-Hos-2853 P10636 MAPT ENSG00000186868.15 Homo_sapiens Droplet,Centrosome/Spindlepolebody,Microtubule,Stress-granule,Postsynapticdensity Scaffold 2.88191462887746E+31 
LLPS-Hos-2689 Q13148 TARDBP ENSG00000120948.17 Homo_sapiens Droplet,Cajal-body,GeminiofCajal-body,Paraspeckle,P-body,Stress-granule,Others Scaffold 2.86577192935807E+31 
LLPS-Hos-2442 O43561 LAT ENSG00000213658.11 Homo_sapiens Droplet Scaffold 27056844 
LLPS-Hos-2466 Q9GZQ8 MAP1LC3B ENSG00000140941.12 Homo_sapiens Droplet,Others Scaffold 29507397 
LLPS-Hos-2484 Q5FBB7 SGO1 ENSG00000129810.14 Homo_sapiens Droplet,Centrosome/Spindlepolebody Scaffold 28636604 
LLPS-Hos-2486 P06748 NPM1 ENSG00000181163.13 Homo_sapiens Droplet,Nucleolus,Centrosome/Spindlepolebody,Stress-granule Scaffold 26836305 
LLPS-Hos-2524 O75683 SURF6 ENSG00000148296.6 Homo_sapiens Droplet,Nucleolus Scaffold 3098163127768890 
LLPS-Hos-2530 P05067 APP ENSG00000142192.20 Homo_sapiens Droplet,Centrosome/Spindlepolebody Scaffold 30110628 
LLPS-Hos-2535 Q13151 HNRNPA0 ENSG00000177733.6 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29961577 
LLPS-Hos-2579 Q14781 CBX2 ENSG00000173894.10 Homo_sapiens Droplet,PcGbody Scaffold 30514760 
LLPS-Hos-2608 P22626 HNRNPA2B1 ENSG00000122566.21 Homo_sapiens Droplet,Nuclear-speckle,Nucleolus,P-body,Stress-granule Scaffold 2996157729358070 
LLPS-Hos-2621 Q32P51 HNRNPA1L2 ENSG00000139675.12 Homo_sapiens Droplet,Nucleolus Scaffold 29961577 
LLPS-Hos-2640 Q15717 ELAVL1 ENSG00000066044.14 Homo_sapiens Nucleolus,P-body,Stress-granule,Others Scaffold 29728455 
LLPS-Hos-0137 P49790 NUP153 ENSG00000124789.11 Homo_sapiens Droplet,Stress-granule Scaffold 21961597 
LLPS-Hos-0235 P78352 DLG4 ENSG00000132535.19 Homo_sapiens Droplet,Postsynapticdensity Scaffold 2756534530078710 
LLPS-Hos-0262 P62750 RPL23A ENSG00000198242.13 Homo_sapiens Droplet,Nucleolus,Postsynapticdensity Scaffold 26836305 
LLPS-Hos-0297 Q14974 KPNB1 ENSG00000108424.9 Homo_sapiens Droplet,Nucleolus,PML-nuclear-body,Centrosome/Spindlepolebody,Stress-granule,Postsynapticdensity Scaffold 29677513 
LLPS-Hos-0303 P31483 TIA1 ENSG00000116001.15 Homo_sapiens Droplet,P-body,Stress-granule,Others Scaffold 2865771929961570 
LLPS-Hos-0362 P24928 POLR2A ENSG00000284832.1 Homo_sapiens Droplet,Nucleolus,Others Scaffold 26455390 
LLPS-Hos-0584 Q9UER7 DAXX ENSG00000204209.12 Homo_sapiens Droplet,PML-nuclear-body Scaffold 30244836 
LLPS-Hos-0616 Q96LT7 C9orf72 ENSG00000147894.15 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 28306503 
LLPS-Hos-0631 P06241 FYN ENSG00000010810.17 Homo_sapiens Droplet,Nucleolus,Centrosome/Spindlepolebody,Postsynapticdensity Scaffold 30397184 
LLPS-Hos-0644 Q9NWB1 RBFOX1 ENSG00000078328.20 Homo_sapiens Droplet,Stress-granule Scaffold 28708999 
LLPS-Hos-0652 Q14011 CIRBP ENSG00000099622.13 Homo_sapiens Droplet,Cajal-body,Nucleolus,Stress-granule Scaffold 22579281 
LLPS-Hos-0672 Q13501 SQSTM1 ENSG00000161011.19 Homo_sapiens Droplet,Stress-granule,Others Scaffold 2950739729343540 
LLPS-Hos-0712 Q9UPQ9 TNRC6B ENSG00000100354.20 Homo_sapiens Droplet,P-body,Stress-granule Scaffold 29576456 
LLPS-Hos-0713 Q9NQI0 DDX4 ENSG00000152670.18 Homo_sapiens Droplet,Nuage,Others Scaffold 2574765928041840 
LLPS-Hos-0798 P52292 KPNA2 ENSG00000182481.8 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29677513 
LLPS-Hos-0803 Q9UHD9 UBQLN2 ENSG00000188021.8 Homo_sapiens Droplet,Stress-granule Scaffold 29526694 
LLPS-Hos-0808 Q01844 EWSR1 ENSG00000182944.17 Homo_sapiens Droplet,Nucleolus,Centrosome/Spindlepolebody,Stress-granule Scaffold 2996157724267890 
LLPS-Hos-0862 Q13283 G3BP1 ENSG00000145907.14 Homo_sapiens Neuronalgranule,P-body,Stress-granule,Others Scaffold 29728455 
LLPS-Hos-0884 O14980 XPO1 ENSG00000082898.16 Homo_sapiens Droplet,Cajal-body,Nuclear-speckle,Nucleolus,PML-nuclear-body,Centrosome/Spindlepolebody,Postsynapticdensity Scaffold 29677513 
LLPS-Hos-0970 P26599 PTBP1 ENSG00000011304.19 Homo_sapiens Droplet,Nuclear-speckle,Nucleolus,Stress-granule,Others Scaffold 26412307 
LLPS-Hos-1017 P45973 CBX5 ENSG00000094916.15 Homo_sapiens Droplet,Nucleolus Scaffold 28636604 
LLPS-Hos-1126 P62993 GRB2 ENSG00000177885.14 Homo_sapiens Droplet,Centrosome/Spindlepolebody,Stress-granule Scaffold 2705684429976790 
LLPS-Hos-1141 Q13823 GNL2 ENSG00000134697.12 Homo_sapiens Droplet,Nucleolus Scaffold 30981631 
LLPS-Hos-1188 P51991 HNRNPA3 ENSG00000170144.20 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29961577 
LLPS-Hos-1205 Q13627 DYRK1A ENSG00000157540.20 Homo_sapiens Droplet Scaffold 29849146 
LLPS-Hos-1237 P15502 ELN ENSG00000049540.16 Homo_sapiens Droplet Scaffold 2912032628507120 
